strategy,target_coverage,actual_known_validation_coverage,calibration_sample_count,confidence_threshold,margin_threshold,unknown_threshold,qc_required,config_hash,coverage,selective_risk,known_review_rate,known_auto_accept_accuracy,unknown_auto_accept_rate,possible_unknown_rate,generic_review_rate,low_quality_rate,aurc
confidence_only,0.95,0.9500182415176943,2741,0.9741078615188599,,,False,5f55af53a893535a790908b997d4726778536cdbc96cd452fac2db8743988c90,0.589757350404416,0.0072908672294704525,0.049598832968636035,0.9927091327705295,0.5473977297065753,0.0,0.410242649595584,0.0,0.0019799925387796046
confidence_only,0.9,0.9000364830353885,2741,0.9962373971939087,,,False,41fde8c611e05044e1e12ed1076bf75ce7549e306db6c0e3e58184cea3e25be8,0.41376931038448267,0.005674908796108634,0.10029175784099198,0.9943250912038913,0.3566930820304134,0.0,0.5862306896155173,0.0,0.0019799925387796046
confidence_only,0.8,0.800072966070777,2741,0.9993878602981567,,,False,479ab20a2949d640f84f481ceec12b7d82c9eea9be169418456de34ef9b74eac,0.2791045348257753,0.003194888178913738,0.20094821298322393,0.9968051118210862,0.21803384022274577,0.0,0.7208954651742248,0.0,0.0019799925387796046
confidence_only,0.7,0.7001094491061657,2741,0.9998006224632263,,,False,d266f72d708a7da374c58023456074927fea97f60e012d9eefda335b8e018ddb,0.20607965653390578,0.0015625,0.29978118161925604,0.9984375,0.14804026558149497,0.0,0.7939203434660942,0.0,0.0019799925387796046
confidence_only,0.6,0.6001459321415542,2741,0.9999140501022339,,,False,74b3b6490e54f4ec330d6e19207c327ee8f3444858e3a342a0cd85e3601fdad0,0.15728140453099246,0.0012307692307692308,0.4073668854850474,0.9987692307692307,0.10614692653673163,0.0,0.8427185954690075,0.0,0.0019799925387796046
confidence_margin,0.95,0.9500182415176943,2741,0.9741078615188599,0.9485930129885674,,False,9404fabcfd9daf4932ac29a42bbfdb647ef7b36d03c308c31c4354a204579fa2,0.5897190171349714,0.0072908672294704525,0.049598832968636035,0.9927091327705295,0.5473548939815807,0.0,0.41028098286502857,0.0,0.001979744028486631
confidence_margin,0.9,0.9000364830353885,2741,0.9962373971939087,0.9485930129885674,,False,762a1b4073f97631328e5332ea1591cd60c9408fe3be36c5e12c03316c05360a,0.41376931038448267,0.005674908796108634,0.10029175784099198,0.9943250912038913,0.3566930820304134,0.0,0.5862306896155173,0.0,0.001979744028486631
confidence_margin,0.8,0.800072966070777,2741,0.9993878602981567,0.9975469082128257,,False,bb498f1110727a17236fc13c7d9d51c0e69d6608cbf01e772dcb81458828cb12,0.2791045348257753,0.003194888178913738,0.20094821298322393,0.9968051118210862,0.21803384022274577,0.0,0.7208954651742248,0.0,0.001979744028486631
confidence_margin,0.7,0.7001094491061657,2741,0.9998006224632263,0.9994181332294829,,False,d4b9cd959dcd0d9c629123763019c6d80102688254af897517fbf0a376391a04,0.20607965653390578,0.0015625,0.29978118161925604,0.9984375,0.14804026558149497,0.0,0.7939203434660942,0.0,0.001979744028486631
confidence_margin,0.6,0.6001459321415542,2741,0.9999140501022339,0.9997887313365936,,False,a38969ca89a943942ef9a98340ee1090ab4a41c32accbf401c1ff0863260a988,0.15728140453099246,0.0012307692307692308,0.4073668854850474,0.9987692307692307,0.10614692653673163,0.0,0.8427185954690075,0.0,0.001979744028486631
confidence_margin_msp_qc,0.95,0.9500182415176943,2741,0.4683550000190735,0.006973296403884888,0.5316449999809265,True,da1a67bfa7dfc0587133e954f51f0c86fee407b9acdffa8c2d8f5921c5d40b88,0.85360524399126,0.02262269938650307,0.04886943836615609,0.9773773006134969,0.8421503533947312,0.004293326177789704,0.14639475600874,0.14072143213094646,0.006570352638581781
confidence_margin_msp_qc,0.9,0.9018606348048157,2741,0.9741078615188599,0.9485930129885674,0.025892138481140137,True,cb8e4b8121bff772f05b35e040b3ecf7fa49b3d9b50b4d459afc8914a2f3f477,0.534864108559819,0.007667473769168685,0.0962800875273523,0.9923325262308313,0.4915399443135575,0.32437612603978994,0.4651358914401809,0.14072143213094646,0.006570352638581781
confidence_margin_msp_qc,0.8,0.804086099963517,2741,0.9985999464988708,0.9975469082128257,0.0014000535011291513,True,2e36fec65409d872bc4f8df967e95658aea22b46856a69f9b5f8bea077c1f3ec,0.3107294821175298,0.004043126684636119,0.18818380743982493,0.9959568733153639,0.2518740629685157,0.5447157588070687,0.6892705178824702,0.14072143213094646,0.006570352638581781
confidence_margin_msp_qc,0.7,0.70777088653776,2741,0.9996538162231445,0.9994181332294829,0.00034618377685546875,True,5ba82882bcb9bda8e08a60dccaadc613db79690ccc74d7069454ee2b6aee26a8,0.22382796028673285,0.0030753459764223477,0.2884755652808169,0.9969246540235777,0.16654529877918184,0.631502280829532,0.7761720397132671,0.14072143213094646,0.006570352638581781
confidence_margin_msp_qc,0.6,0.6110908427581174,2741,0.9998723268508911,0.9997887313365936,0.00012767314910888672,True,4229115379d5fb35006e2584b745e07e32d776dd6f83c4b45f8b2af992a4f7ec,0.16701805496990837,0.001195457262402869,0.3898614150255288,0.9988045427375971,0.11497108588562861,0.688772185379691,0.8329819450300916,0.14072143213094646,0.006570352638581781
