checkpoint,remote_path,size_bytes,sha256,epoch,validation_recall,validation_precision,map50,map50_95,has_rng_state,model_floating_tensors,model_floating_values,model_nonfinite_tensors,model_nonfinite_values,optimizer_floating_tensors,optimizer_floating_values,optimizer_nonfinite_tensors,optimizer_nonfinite_values,scientific_role
epoch_001.pt,/home/ubuntu/hemato-osr/artifacts/checkpoints/delivery11/faster_rcnn_wbc_candidate_v1_final/epoch_001.pt,331225995,10d2c38df9e89ddf521ee706ac3f9d1877074886938e81c55156b59ca953a769,1,0.986740917528507,0.6598687710586983,0.9483276169045958,0.8735602377562109,true,295,41405401,0,0,189,41352281,0,0,valid_checkpoint_in_incomplete_training_run
epoch_002.pt,/home/ubuntu/hemato-osr/artifacts/checkpoints/delivery11/faster_rcnn_wbc_candidate_v1_final/epoch_002.pt,331225995,d228f6b7dc6211644067c5b01839dc878d325618436ec1cc0b81ce3f641386b3,2,0.9856801909307876,0.3257097791798107,0.9452402424505219,0.7456033625383965,true,295,41405401,0,0,189,41352281,0,0,valid_checkpoint_in_incomplete_training_run
best_checkpoint.pt,/home/ubuntu/hemato-osr/artifacts/checkpoints/delivery11/faster_rcnn_wbc_candidate_v1_final/best_checkpoint.pt,331229265,c054bd7ec5b7aa5cd3ca7b91249e844d7ff3a267ea0f363d9c8f2dc5b47ac983,1,0.986740917528507,0.6598687710586983,0.9483276169045958,0.8735602377562109,true,295,41405401,0,0,189,41352281,0,0,best_available_by_validation_recall_but_not_final_detector
